,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
1,0_university_student_school_education,0,"['university', 'student', 'school', 'education', 'year', 'research', 'stanford', 'organization', 'field', 'state']",2010,Chapter 17: How I spent the summer of 1973: It was not a vacation,28,Aldrich H.E.
2,1_religion_religious_practice_church,1,"['religion', 'religious', 'practice', 'church', 'organization', 'behavior', 'individual', 'belief', 'identity', 'theory']",2014,Religion in organizations: Cognition and behavior,41,"Weaver G.R., Stansbury J.M."
3,2_interview_data_observation_conducted,2,"['interview', 'data', 'observation', 'conducted', 'document', 'source', 'study', 'interviewed', 'analysis', 'meeting']",2017,Emergence of a new institutional logic: Shaping the institutionally complex field of community radio in India,50,"Riaz S., Qureshi I."
4,3_corporation_shareholder_enterprise_ownership,3,"['corporation', 'shareholder', 'enterprise', 'ownership', 'business', 'firm', 'corporate', 'company', 'purpose', 'organization']",2022,Rethinking the purpose of the corporation with the creative power of the enterprise,78,"Segrestin B., Hatchuel A., Levillain K."
5,4_theory_institutional_institution_volume,4,"['theory', 'institutional', 'institution', 'volume', 'research', 'scholar', 'work', 'paper', 'organization', 'scholarship']",2019,What are microfoundations? Why and how to study them?,65B,"Tolbert P.S., Zucker L.G."
6,5_actor_visual_mode_meaning,5,"['actor', 'visual', 'mode', 'meaning', 'institutional', 'process', 'study', 'field', 'multimodal', 'institution']",2017,Protest in style: Exploring multimodal concision in rhetorical artifacts,54A,Zhao W.
7,6_shareholder_corporation_market_state,6,"['shareholder', 'corporation', 'market', 'state', 'profit', 'investor', 'business', 'firm', 'company', 'value']",2019,Smart grids and smart markets: The promises and politics of intelligent infrastructures,62,Folkers A.
8,7_variable_model_effect_regression,7,"['variable', 'model', 'effect', 'regression', 'estimate', 'firm', 'format', 'result', 'analysis', 'significant']",2010,"Organizational evolution with fuzzy technological formats: Tape drive producers in the world market, 1951-1998",31,"Carroll G.R., Feng M., Mens G.L., McKendrick D.G."
9,8_mortgage_bank_loan_market,8,"['mortgage', 'bank', 'loan', 'market', 'security', 'investment', 'asset', 'investor', 'rate', 'risk']",2010,The anatomy of the mortgage securitization crisis,30,"Fligstein N., Goldstein A."
10,9_university_researcher_research_funding,9,"['university', 'researcher', 'research', 'funding', 'grant', 'country', 'field', 'professor', 'institute', 'community']",2014,"Cold atoms - Hot research: High risks, high rewards in five different authority structures",42,"Laudel G., Lettkemann E., Ramuz R., Wedlin L., Woolley R."
11,10_stanford_student_university_school,10,"['stanford', 'student', 'university', 'school', 'faculty', 'research', 'program', 'department', 'organization', 'sociology']",2010,Chapter 28: School and Super-School,28,Strang D.
12,11_university_research_revenue_organisation,11,"['university', 'research', 'revenue', 'organisation', 'funding', 'resource', 'student', 'profile', 'heos', 'change']",2016,"The changing finances of public higher education organizations: Diversity, change, and discontinuity",46,Barringer S.N.
13,12_level_meaning_process_organization,12,"['level', 'meaning', 'process', 'organization', 'action', 'context', 'practice', 'time', 'structure', 'field']",2002,10. Organizing identity: The creation of science for the people,19,"Moore K., Hala N."
