,Topic Label,topic_nr,most_freq_words,rep_doc_year,title,Volumne,Authors
1,0_sdgs_target_synergy_sdg,0,"['sdgs', 'target', 'synergy', 'sdg', 'indicator', 'goal', 'development', 'trade', 'analysis', 'trade offs']",2022,The inclusive wealth index and sustainable development goals,17.0,"Dasgupta P., Managi S., Kumar P."
2,1_student_sustainability_research_course,1,"['student', 'sustainability', 'research', 'course', 'program', 'university', 'process', 'project', 'learning', 'science']",2015,Teaching and learning sustainability: An assessment of the curriculum content and structure of sustainability degree programs in higher education,10.0,"O’Byrne D., Dripps W., Nicholas K.A."
3,2_community_year_land_life,2,"['community', 'year', 'land', 'life', 'area', 'state', 'place', 'family', 'time', 'food']",2021,"Revising Reykjavík: changing narratives of skeletons, structures, and imagined futures",16.0,Stanley J.L.
4,3_interview_participant_group_question,3,"['interview', 'participant', 'group', 'question', 'project', 'transcribed', 'data', 'survey', 'analysis', 'process']",2020,Evaluating core competencies and learning outcomes for training the next generation of sustainability researchers,15.0,"Roy S.G., de Souza S.P., McGreavy B., Druschke C.G., Hart D.D., Gardner K."
5,4_japan_scenario_cost_model,4,"['japan', 'scenario', 'cost', 'model', 'power', 'energy', 'sector', 'hydrogen', 'emission', 'nuclear']",2021,Role of negative emissions technologies (NETs) and innovative technologies in transition of Japan’s energy systems toward net-zero CO2 emissions,16.0,"Kato E., Kurosawa A."
6,5_fishery_fisher_ocean_growth,5,"['fishery', 'fisher', 'ocean', 'growth', 'economy', 'fishing', 'blue', 'marine', 'ecological', 'fish']",2020,The paradox of sustainable tuna fisheries in the Western Indian Ocean: between visions of blue economy and realities of accumulation,15.0,"Andriamahefazafy M., Bailey M., Sinan H., Kull C.A."
7,6_interview_survey_group_farmer,6,"['interview', 'survey', 'group', 'farmer', 'conducted', 'interviewed', 'respondent', 'participant', 'structured', 'household']",2019,Burn or bury? A comparative cost–benefit analysis of crop residue management practices among smallholder rice farmers in northern Vietnam,14.0,"Keck M., Hung D.T."
8,7_farmer_farm_farming_practice,7,"['farmer', 'farm', 'farming', 'practice', 'group', 'advisor', 'project', 'agricultural', 'cop', 'researcher']",2018,Communities of practice for knowledge co-creation on sustainable dairy farming: features for value creation for farmers,13.0,"Triste L., Debruyne L., Vandenabeele J., Marchand F., Lauwers L."
9,8_diet_food_farmer_product,8,"['diet', 'food', 'farmer', 'product', 'consumption', 'animal', 'production', 'system', 'crop', 'meat']",2022,Ecological ceiling and social floor: public support for eco-social policies in Sweden,,"Khan J., Emilsson K., Fritz M., Koch M., Hildingsson R., Johansson H."
10,9_science_research_problem_knowledge,9,"['science', 'research', 'problem', 'knowledge', 'discipline', 'process', 'collaboration', 'sustainability', 'project', 'work']",2021,"Values, science, and competing paradigms in sustainability research: furthering the conversation",16.0,Boda C.S.
